rut_llave,fecha_mesa,decision_mesa,monto_credito_uf,renta_liquida,carga_financiera,ltv,con_subsidio,tiene_codeudor,auditoria_categorias,auditoria_inconsistencias,criterios_version
34a1b0696d0ec4cb,2026-07-23,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
88e2d18ea30394b8,2026-07-23,APROBADO,800.0,,,,SI,NO,,0,v1.5
8d99f56bf0447beb,2026-07-23,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
ddaaa9ac61778fa5,2026-07-23,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
2b52fe803bbc4461,2026-07-23,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
8a7b1e5d5178e8c6,2026-08-19,APROBADO,,,,,NO,NO,APROBACIÓN VERIFICADA POR EMAIL | NO AUDITABLE,0,v1.5
f4c48f52f93f6639,2026-07-27,APROBADO,2150.0,,,,SI,NO,,0,v1.5
6564f593487edd0d,2026-07-27,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
69683681f05a41c7,2026-07-27,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
f6c868fe7463dcc4,2026-07-27,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
fdf1bff8948c7bca,2026-07-27,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
dfb530d474f19358,2026-07-28,APROBADO,2150,1554951.0,,,SI,NO,,0,v1.5
951d386899ab82c0,2026-07-27,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
139175f35445d8e6,2026-07-28,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
c82571839e0b80f1,2026-07-28,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
af7b24015f849423,2026-07-28,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
7394cd5a48bea9f7,2026-07-29,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
a0755e0f0ee8ed1a,2026-07-28,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
23a4ccba99177149,2026-07-29,APROBADO,2700.0,,,,NO,NO,,0,v1.5
e85b9c95cda80607,2026-07-29,APROBADO,2038.0,,,,SI,NO,,0,v1.5
6713ea8fb7eb1777,2026-07-29,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
ff3b68158c16eba7,2026-07-30,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
4ea8457710fb35f3,2026-07-30,APROBADO,2150.0,,,,SI,NO,,0,v1.5
32e2a6ace3701ee9,2026-07-31,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
f247bfdebb82c0d1,2026-07-31,APROBADO,1890.0,,,,SI,NO,,0,v1.5
f88b1986e7a5d754,2026-07-31,APROBADO,2200.0,,,,SI,NO,,0,v1.5
1fa9282d529579ea,2026-08-09,APROBADO,1800,1158429.0,0.42,0.9,NO,NO,ERROR HUMANO | RIESGO,6,v1.5
1f9a4f752990a580,2026-07-31,APROBADO,2330.0,949889.0,,,SI,NO,,0,v1.5
4d5158ecdcbfb3f3,2026-08-03,APROBADO,2000.0,,,,SI,NO,,0,v1.5
3899308de2ed493a,2026-07-31,APROBADO,902.5,398313.0,,,SI,NO,,0,v1.5
672e3b0ab4a9c8a9,2026-08-03,RECHAZADO,,,,,NO,NO,,0,v1.5
2800c963dbcc02a7,2026-08-03,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
7b8a7fbe66fbaf7e,2026-08-06,APROBADO,,1182621.0,,,NO,NO,,0,v1.5
0789cb59e717098a,2026-08-06,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
e31a2ce059556b6e,2026-08-09,APROBADO,,,,,NO,NO,NO AUDITABLE,0,v1.5
10c3380bb72032ad,2026-08-11,APROBADO,,,,,NO,NO,APROBACIÓN VERIFICADA POR EMAIL,0,v1.5
46d4476d9660c32b,2026-08-12,APROBADO,,,,,NO,NO,APROBACIÓN VERIFICADA POR EMAIL,0,v1.5
e03bb90643f3b693,2026-08-12,APROBADO,,,,,NO,NO,APROBACIÓN VERIFICADA POR EMAIL,0,v1.5
caeffd12cd5e334a,2026-08-20,APROBADO,,,,,NO,NO,APROBACIÓN VERIFICADA POR EMAIL,0,v1.5
ab55831bd775e771,2026-08-20,APROBADO,,,,,NO,NO,RIESGO,1,v1.5
4e2660d4dae6d762,2026-08-20,APROBADO,1890.0 UF,,,,NO,NO,APROBACIÓN VERIFICADA POR EMAIL,0,v1.5
